nome,indirizzo,telefono,sito,email,rating,recensioni
Osteria al Piccolo Molo,"Via Antonio Grossich, 2, 20131 Milano MI, Italia",02 3668 6452,https://osteriaalpiccolomolo.eatbu.com/?lang=it,minageorge1984@gmail.com,4.5,732
L'Insolita Pescheria,"Via Sandro Botticelli, 2, 20133 Milano MI, Italia",02 3675 2145,http://www.linsolitapescheria.it/,,4.3,602
Bracelleria,"Via Carlo Matteucci, ang, Via Paracelso, 1, 20131 Milano MI, Italia",02 8492 1897,https://social.quandoo.com/en/groups/bracelleria-osteria-macelleria-99319,,4.4,217
Ristorante Imperiale,"Via Plinio Caio Secondo, 30, 20129 Milano MI, Italia",02 2951 3532,https://www.ristoranteimperialemilano.com/,imperiale30@yahoo.it,4.4,438
JinYong Ticinese,"Corso di Porta Ticinese, 6, 20123 Milano MI, Italia",02 8940 1415,https://social.quandoo.com/en/groups/jin-yong-ticinese-101105,,4.8,416
Ristorante Cacio e Pepe - Cucina Romana,"V.le Gian Galeazzo, 3, 20136 Milano MI, Italia",346 067 8848,https://www.ristorantecacioepepe.com/,,4.4,1923
Fininfondo,"Ripa di Porta Ticinese, 69, 20143 Milano MI, Italia",376 249 6014,http://www.fininfondo.it/,info@fininfondo.it,4.4,600
Ishi,"Corso di Porta Ticinese, 96, 20123 Milano MI, Italia",366 542 6215,http://ishifusion.it/,info@ishifusion.it,4.3,1454
AltaRè - La Puglia a Morsi,"Corso di Porta Ticinese, 76, 20123 Milano MI, Italia",02 0994 9784,https://instagram.com/altare_puglia?igshid=YmMyMTA2M2Y=,,4.6,690
Chunk Milano,"Ripa di Porta Ticinese, 55, 20143 Milano MI, Italia",02 3599 0549,http://www.chunkmilano.it/,info@chunkmilano.it,4.9,1972
Trapizzino Milano | Navigli,"Ripa di Porta Ticinese, 2, 20143 Milano MI, Italia",02 9157 0928,https://www.trapizzino.it/trapizzino/trapizzino-milano-navigli/?utm_source=googlemaps&utm_campaign=Local&utm_medium=organic&utm_content=link_home_gmaps,info@trapizzino.it,4.5,542
El Porteño Darsena,"V.le Gian Galeazzo, 25, 20136 Milano MI, Italia",02 5843 7593,https://www.elporteno.it/location/milano/el-porteno-darsena/,booking@porteno.it,4.4,2030
Zio Pesce,"Via Cicco Simonetta, 8, 20123 Milano MI, Italia",02 5810 9145,https://www.ziopesce.com/,info@sevengroup.it,4.5,1377
Trattoria Pugliese Acquasala,"Ripa di Porta Ticinese, 71, 20143 Milano MI, Italia",02 8942 3983,http://www.acquasala.it/,,4.3,972
Dumpling mywéi bar,"Corso di Porta Ticinese, 14, 20123 Milano MI, Italia",373 753 8973,http://myweibar.it/,dumpling@myweibar.it,4.7,108
Papilla Milano,"P.za Ventiquattro Maggio, 5, 20122 Milano MI, Italia",02 9415 5574,http://www.papillamilano.com/,,4.8,3896
Hot rock Restaurant &Bar,"Via Vetere, 09, 20123 Milano MI, Italia",02 3655 3508,,,4.6,247
Osteria del Binari,"Via Tortona, 1, 20144 Milano MI, Italia",02 8940 9428,http://osteriadelbinari.it/,info@osteriadelbinari.it,4.3,4585
La Scaletta,"Piazzale Stazione Genova, 3, 20144 Milano MI, Italia",02 4398 6316,http://www.lascalettarestaurant.com/,info@lascalettarestaurant.com,4.5,641
Belle Donne Bistrot,"Via Tortona, 28, 20144 Milano MI, Italia",02 5810 9894,https://www.belledonnebistrot.com/,info@belledonnebistrot.com,4.5,1945
BLUES CANAL,"Via Casale, 7, 20144 Milano MI, Italia",02 836 0799,http://www.bluescanalmilano.com/,info@bluescanalmilano.com,4.5,5728
Osteria Via Prè,"Via Casale, 4, 20144 Milano MI, Italia",366 159 7478,http://www.viapre.it/,info@viapre.it,4,479
Al Porto Ristorante,"Piazzale Antonio Cantore, 13, 20144 Milano MI, Italia",02 8940 7425,https://alportomilano.it/,info@alportomilano.it,4.6,1053
SlowSud Porta Genova Tortona,"Via Tortona, 20, 20144 Milano MI, Italia",02 9475 5965,https://www.slow-sud.it/,,4.5,476
Langosteria Bistrot,"Via Privata Bobbio, 2, 20144 Milano MI, Italia",02 5810 7802,http://www.langosteria.com/,,4.6,2998
Trattoria Da Armando & Christian,"Corso Cristoforo Colombo, 10, 20144 Milano MI, Italia",02 832 2062,https://www.armandoechristian.it/,,4.2,376
142 Restaurant & 142 Café Bistrot,"Corso Cristoforo Colombo, 6, 20144 Milano MI, Italia",349 856 1278,http://www.142.restaurant/,info@142.restaurant,4.7,283
Ristorante Rodrigo,"Via Savona, 11, 20144 Milano MI, Italia",02 9731 2013,http://ristoranterodrigomilano.com/,,4.7,56
Il Montalcino,"Via Valenza, 17, 20144 Milano MI, Italia",02 832 1926,http://www.ilmontalcino.it/,,4.4,942
Langosteria,"Via Savona, 10, 20144 Milano MI, Italia",02 5811 1649,http://www.langosteria.com/,,4.6,3185
Bussarakham,"Via Valenza, 13, 20144 Milano MI, Italia",02 8942 2415,http://www.bussarakham.com/,ristorantebussarakham@gmail.com,4.1,1589
Da Noi In,"Via Vincenzo Forcella, 6, 20144 Milano MI, Italia",02 837 8111,https://www.magnapars.it/ristorante/,info@magnapars.it,4.4,99
Pizzeria di Porta Garibaldi - MILANO,"Corso Como, 6, 20154 Milano MI, Italia",02 655 1926,http://www.pizzeriaportagaribaldi.com/,,4.2,3707
El Carnicero Garibaldi,"Corso Garibaldi, 108, 20121 Milano MI, Italia",02 8722 2106,https://www.elcarnicero.com/el-carnicero-garibaldi/,,4.4,1824
Osteria del Gambero Rosso,"Viale Pasubio, 8, 20154 Milano MI, Italia",02 657 1208,http://www.algambero.com/,info@algambero.com,4.3,1429
Fabbrica del Grano - Grani Antichi,"Corso Garibaldi, 26, 20121 Milano MI, Italia",02 7202 3313,https://www.fabbricadelgrano.it/,,4.6,1885
Waby Ristorante,"Via Carlo de Cristoforis, 2, 20124 Milano MI, Italia",02 8341 2987,https://wabyristorante.com/,,4.8,333
The FisherMan Pasta,"Corso Garibaldi, 12, 20121 Milano MI, Italia",02 7200 4524,https://www.thefisherman.it/,info@thefisherman.it,4.4,1803
Dispensa Emilia Milano Garibaldi,"P.za XXV Aprile, 12, 20124 Milano MI, Italia",02 2506 3032,https://www.dispensaemilia.it/it/,,4.1,542
Terrazza Calabritto Milano,"Viale Monte Grappa, 7, 20124 Milano MI, Italia",02 6379 3923,http://milano.terrazzacalabritto.it/,milano@terrazzacalabritto.it,4.5,460
Eataly,"P.za XXV Aprile, 10, 20121 Milano MI, Italia",800 975 880,https://www.eataly.net/it_it/negozi/milano-smeraldo?utm_source=gmb&utm_medium=listing&utm_campaign=organic-search,eatalysmeraldo@eataly.it,4.2,14584
Alla Cucina delle Langhe,"Corso Como, 6, 20124 Milano MI, Italia",02 655 4279,http://www.allacucinadellelanghe.com/,,4.2,945
Ristorante Milano da Pierino,"Viale Ugo Bassi, 7, 44029 Porto Garibaldi FE, Italia",0533 327179,http://www.milanodapierino.it/,info@milanodapierino.it,4.4,859
Bomaki Garibaldi,"Corso Garibaldi, 79, 20121 Milano MI, Italia",02 9167 2030,https://www.bomaki.it/,,4.6,274
Primè,"Viale Francesco Crispi, 2, 20154 Milano MI, Italia",02 6556 0923,http://www.ristoranteprime.it/,prime@ristoranteprime.it,4.4,1351
Il Gusto della Nebbia,"Via Nino Bonnet, 11, 20154 Milano MI, Italia",351 986 6676,https://ilgustodellanebbia.superbexperience.com/,,4.7,1624
Cantiere Hambirreria - Milano,"Corso Garibaldi, 104, 20121 Milano MI, Italia",389 655 5544,http://www.cantierehambirreria.it/,,4,1401
Piz,"Via Torino, 34, 20123 Milano MI, Italia",02 8645 3482,https://www.facebook.com/pizmilano/,,4.4,14411
Gino Sorbillo Lievito Madre,"Largo Corsia dei Servi, 11, 20122 Milano MI, Italia",02 4537 5930,http://www.sorbillo.it/,info@sorbillo.it,4.1,10129
Pizza Am,"Corso di Porta Romana, 83, 20122 Milano MI, Italia",02 551 0579,https://www.facebook.com/PizzaAmMilano/?locale2=it_IT,,4.7,9127
Nàpiz' Pizzeria Milano,"Viale Vittorio Veneto, 30, 20124 Milano MI, Italia",02 3943 5143,https://www.instagram.com/napiz.pizzeriamilano/,,4.7,4271
Da Zero,"Via Bernardino Luini, 9, 20123 Milano MI, Italia",02 8352 9189,http://www.dazero.org/,,4.4,4411
Fratelli Coppola - Milano,"Via Alfredo Cappellini, 23, 20124 Milano MI, Italia",02 6698 5006,https://www.fratellicoppola.net/fratelli-coppola-ristorante-pizzeria-napoletana-milano/,info@fratellicoppola.net,4.5,3580
Pizzeria Positano Milano - Colonne di San Lorenzo,"Via S. Vito, 5, 20123 Milano MI, Italia",334 715 8836,https://pizzeriapositano.eu/milano-colonne-di-san-lorenzo/,carmine@pizzeriapositano.eu,4.6,1709
MATERIA PIZZERIA - MILANO CENTRO,"Via del Torchio, 1, 20123 Milano MI, Italia",02 4971 4985,https://materiapizzeria.com/,info@materiapizzeria.com,4.7,1691
Spontini,"Via Santa Radegonda, 11, 20121 Milano MI, Italia",02 8909 2621,http://www.spontinimilano.com/pizzerie/MILANO-DUOMO/,info@spontinimilano.com; santaradegonda@pizzeriaspontini.com,4.2,10773
Gino Sorbillo Pizza Gourmand,"Via Ugo Foscolo, 1, 20121 Milano MI, Italia",02 8050 2300,http://www.sorbillo.it/,info@sorbillo.it,4.1,5052
L'Antica Pizzeria • da Michele,"Piazza della Repubblica, 27, 20124 Milano MI, Italia",02 6671 1538,https://www.pizzeriadamichelemilano.it/,,4,4910
Antica Pizza Fritta da Zia Esterina,"Via Agnello, 19, 20121 Milano MI, Italia",02 4549 1628,http://www.sorbillo.it/,info@sorbillo.it,4.3,3800
Casa Sorbillo Duomo,"Via Agnello, 18, 20121 Milano MI, Italia",02 3651 6638,http://www.sorbillo.it/,info@sorbillo.it,4,1619
Slice Milano,"Via Giovanni Gherardini, 2, 20145 Milano MI, Italia",333 188 0274,https://slicemilano.it/,,4.8,1676
Crazy Pizza,"Via Varese, 1, 20121 Milano MI, Italia",02 5407 6604,https://crazypizza.com/milan/,info@crazypizza.com; milan@crazypizza.com,4.2,5392
Rossini,"Via dei Piatti, 4, 20123 Milano MI, Italia",02 4959 4646,http://www.rossiniristorante.it/,rossini@rossiniristorante.it,4.5,2667
I 12 Gatti Pizzeria,"Galleria Vittorio Emanuele II, 11, 20121 Milano MI, Italia",346 845 1420,https://it.idodicigatti.it/,eventi.idodicigatti@galleriavikmilano.com; idodicigatti@galleriavikmilano.com,4.5,1777
Pizzium - Viale Andrea Doria,"Vle Andrea Doria, 17, 20124 Milano MI, Italia",02 3831 2090,https://pizzium.com/,,4.2,2424
Pizzeria Navigli Pizza Tua Qui Milano,"Via Ascanio Sforza, 29, 20136 Milano MI, Italia",388 851 4388,https://www.pizzerianaviglimilano.com/,faraonesaid4@gmail.com,4.8,528
Assaje Navigli,"Via Casale, 5, 20144 Milano MI, Italia",02 3652 3632,https://www.assaje.it/,,4.7,520
I Capatosta Navigli,"Alzaia Naviglio Grande, 56, 20100 Milano MI, Italia",02 8941 5910,http://www.icapatosta.it/,,4.2,2343
La Magolfa - Navigli,"Via Magolfa, 15, 20143 Milano MI, Italia",02 832 1696,,,4.3,3199
Berberè Pizzeria Navigli,"Via Vigevano, 8, 20144 Milano MI, Italia",02 3675 8428,https://www.berberepizza.it/berbere-milano-navigli/,info@berbere.it; arianna.gandolfi@freel.it; job@berbere.it,4.4,2100
Pizzeria del naviglio,"Ripa di Porta Ticinese, 125, 20143 Milano MI, Italia",393 013 4447,,,4.9,54
Pizza e Mozzarella,"Via Carlo Torre, 22, 20143 Milano MI, Italia",02 0996 5181,http://www.pizzaemozzarella.it/,,4.5,5310
Napoli 1820 Pizzeria - Milano,"Alzaia Naviglio Grande, 62, 20144 Milano MI, Italia",02 3652 4578,http://www.napoli1820.com/,,4.3,2546
Fabbrica Pizzeria,"Alzaia Naviglio Grande, 70, 20144 Milano MI, Italia",02 835 7670,https://www.fabbricapizzeriamilano.com/,fabbricapizzeriamilano@gmail.com,3.9,3855
La pizzeria Tradizionale,"Ripa di Porta Ticinese, 7, 20144 Milano MI, Italia",02 839 5133,http://www.pizzeriatradizionale.com/,crm-srl@libero.it,4.1,1885
Il Naviglio Pizza & Kebab,"Ripa di Porta Ticinese, 21, 20143 Milano MI, Italia",328 595 5016,,,4.7,450
Pizzium - Via Vigevano,"Via Vigevano, 33, 20144 Milano MI, Italia",02 8295 5665,https://pizzium.com/locali/milano-via-vigevano-33/,,4.4,3514
Woodstock dal 1969,"Via Lodovico Il Moro, 3, 20143 Milano MI, Italia",02 3656 4015,http://www.woodstock-milano.com/,info@woodstock-milano.com; ordini@woodstock-milano.com,4.2,2549
"Glory POP (Piazzale Cantore, Milano)","Piazzale Antonio Cantore, 3, 20123 Milano MI, Italia",02 0995 3592,https://glorypop.it/,,4.7,320
Sabbia d'oro Ristorante-Pizzeria,"Via Vigevano, 3, 20144 Milano MI, Italia",02 8940 6761,https://www.facebook.com/sabbiadoro2001/,,4.5,997
Ristorante Pizzeria Woodstock 3,"Via Vigevano, 43, 20144 Milano MI, Italia",02 837 3700,,,4.2,1925
Da Zero,"Via dell'Orso, 4, 20121 Milano MI, Italia",02 8341 9934,https://www.dazero.org/,,4.3,2198
Pizzacoteca di Brera,"Via Brera, 29, 20121 Milano MI, Italia",02 7200 0563,http://www.pizzacoteca.it/,info@pizzacoteca.it,3.9,840
Ristorante Pizzeria Il Kaimano,"Via Fiori Chiari, 20, 20121 Milano MI, Italia",02 8050 2733,https://ristoranteilkaimano.it/,,3.8,2759
Ristorante Pizzeria Convivium,"Via Ponte Vetero, 21, 20121 Milano MI, Italia",02 8646 3708,http://www.conviviumristorante.it/,,4.3,1390
Obicà Mozzarella Bar - Cusani,"Via Cusani, 1, 20121 Milano MI, Italia",02 4941 6936,http://www.obica.com/,webmarketing@obica.com; marketinguk@obica.com; usa-marketing@obica.com,4.1,1309
Trattoria Milanese - Dal 1933,"Via Santa Marta, 11, 20123 Milano MI, Italia",02 8645 1991,,,4.2,2509
Premiata Trattoria Arlati dal 1936,"Via Alberto Nota, 47, 20126 Milano MI, Italia",02 643 3327,https://trattoriaarlati.it/,info@trattoriaarlati.com,4.6,2389
Trattoria Don Ciccio Milano,"Via Losanna, 11, 20154 Milano MI, Italia",342 623 7771,https://doncicciomilano.it/,,4.9,33
Trattoria La Pesa dal 1902,"Via Giovanni Fantoni, 26, 20148 Milano MI, Italia",02 3651 4525,http://www.trattorialapesa1902.it/,,4.4,2826
Trattoria della Gloria,"Via Mario Pichi, 5, 20143 Milano MI, Italia",02 4547 4710,https://www.trattoriadellagloria.com/,tommaso@trattoriadellagloria.com; rocco@trattoriadellagloria.com; luca@trattoriadellagloria.com,4.5,788
Antica Osteria Il Ronchettino,"Via Lelio Basso, 9, 20142 Milano MI, Italia",342 564 3955,http://www.ronchettino.it/,info@ronchettino.it,4.4,1915
Trattoria Milanese dal 1997| Famiglia Mita,"Via Carlo Ilarione Petitti, 11, 20149 Milano MI, Italia",02 3675 1580,https://www.trattoriamilanesedal1997.com/,prenotazioni@trattoriamilanesedal1997.com,4.5,154
Antica Trattoria della Pesa,"Viale Pasubio, 10, 20154 Milano MI, Italia",02 655 5741,http://www.anticatrattoriadellapesa.com/,anticatrattoriadellapesa1880@gmail.com,4.2,1421
Trattoria della Stampa Milano,"Viale Pasubio, 8, 20154 Milano MI, Italia",02 9925 8698,https://www.trattoriadellastampamilano.it/,,4.6,410
Osteria Mamma Rosa-Ristorante pesce Milano,"P.zza Cincinnato, 4, 20124 Milano MI, Italia",02 2952 2076,http://www.osteriamammarosa.it/,info@osteriamammarosa.it,4.4,4773
Osteria Conchetta,"Via Conchetta, 8, 20136 Milano MI, Italia",02 837 2917,http://www.osteriaconchetta.it/,info@osteriaconchetta.it,4.5,2689
Da Pisacco - Trattoria Italiana,"Via Carlo Pisacane, 47, 20129 Milano MI, Italia",02 8076 6306,https://www.trattoriadapisacco.it/,info@trattoriadapisacco.com,4.8,91
Galeria Antica Trattoria Milano,"Via Arcangelo Corelli, 27, 20134 Milano MI, Italia",327 000 5385,https://www.galeriaanticatrattoria.it/,info@galeriaanticatrattoria.it,4.3,1575
Osteria De Milan,"Via Carlo Tenca, 18, 20124 Milano MI, Italia",339 487 3343,https://www.osteriademilan.it/menu,,4.6,490
Osteria Fiaschetto | Ristorante a Milano,"Via Pioppette, 3, 20123 Milano MI, Italia",331 363 4603,http://www.osteriafiaschetto.com/,osteriafiaschetto@gmail.com,4.7,590
Osteria Serafina,"Via Luigi Sacco, 9, 20149 Milano MI, Italia",389 929 9450,http://www.osteriaserafina.com/,info@osteriaserafina.it,4.7,2857
Osteria Cornalia,"Via Emilio Cornalia, 16, 20124 Milano MI, Italia",02 8969 7710,https://osteriacornalia.it/,info@osteriacornalia.it,4.6,425
Osteria italiana,"Via Napo Torriani, 22, 20124 Milano MI, Italia",02 670 4188,http://www.osteriaitaliana.eu/,info@osteriaitaliana.eu,4.1,4162
Osteria dei Malnat,"Via Caccialepori, 3, 20090 Milano MI, Italia",02 2318 2024,http://www.osteriadeimalnat.it/,,4.3,1272
Osteria dal Cornuto,"Ripa di Porta Ticinese, 55, 20143 Milano MI, Italia",02 4952 7323,https://www.osteriadalcornuto.com/,,4.6,1565
Antica Osteria del Mare,"Via Ascanio Sforza, 105, 20141 Milano MI, Italia",02 8954 6534,http://www.anticaosteriadelmare.it/,info@anticaosteriadelmare.it,4.4,983
Ristorante di Pesce Milano Buon prezzo - Settembrini 18,"Via Luigi Settembrini, 18, 20124 Milano MI, Italia",02 2951 9494,http://www.ristorantesettembrini18.it/,,4.6,2327
CANTINE A MARE - Ristorante di Pesce,"Via Carlo Goldoni, 58, 20129 Milano MI, Italia",02 8969 6018,https://cantinemilano.com/?site_source_name=gmbctam,reservation@cantinemilano.it; booking@cantineamare.com,4.8,391
Pesce D'Oro Bistrot,"Viale Monte Grappa, 2, 20124 Milano MI, Italia",02 5812 4659,https://pescedorobistrot.com/,,4.6,311
Noi Pesce,"Piazzale Damiano Chiesa, 2, 20149 Milano MI, Italia",02 4953 0729,http://www.noipesce.it/,gruppofl@legalmail.it,4.4,1291
Osteria da Zio Ninì,"Via Tibullo, 10, 20151 Milano MI, Italia",02 3349 0988,https://www.facebook.com/pages/Osteria-Da-Zio-Nini/312898762237826,,4.5,5394
Marea Seafood & Beverage,"Via Papa Gregorio XIV, 16, 20123 Milano MI, Italia",02 8457 0315,http://www.mareamilano.it/,info@mareamilano.it,4.8,476
Vento di Sardegna,"Via Edmondo de Amicis, 44, 20123 Milano MI, Italia",02 8909 3710,http://www.ristoranteventodisardegna.it/milano,milano@ristoranteventodisardegna.it,4.5,1654
Osteria Molo 13,"Via Rubens, 13, 20148 Milano MI, Italia",02 404 2743,http://www.molo13.it/,,4.5,1903
A'Riccione,"Via Torquato Taramelli, 70, 20124 Milano MI, Italia",02 683807,https://www.ariccionemilano.it/,lara@ariccioneterrazza12.it; info@ariccioneterrazza12.it; info@ristoranteariccione.com,4.5,1796
Zio Pesce,"Via Andrea Maffei, 12, 20135 Milano MI, Italia",02 4979 4967,https://www.ziopesce.com/,info@sevengroup.it,4.3,1396
La Rosa dei Venti,"V. Piero della Francesca, 34, 20154 Milano MI, Italia",02 347338,,,4.6,643
Beef Club Milano - Miglior Ristorante di Carne alla Brace della città,"Via Giovanni Boccaccio, 15, 20123 Milano MI, Italia",02 5182 3951,http://www.beefclubmilano.it/,INFO@BEEFCLUBMILANO.IT,4.7,1103
El Carnicero Spartaco,"Via Spartaco, 31, 20151 Milano MI, Italia",02 5401 9816,https://www.elcarnicero.com/el-carnicero-spartaco/,,4.5,2886
PitBeef Milano,"Via Gaetano de Castillia, 7, 20124 Milano MI, Italia",02 8706 3435,http://pitbeefmilano.com/,info@pitbeefmilano.com,4.9,753
Viro Steak Restaurant Milano,"Via Lodovico Settala, 2, 20124 Milano MI, Italia",02 9710 0147,https://www.virosteakrestaurant.it/,,4.8,313
Picanha's Top Carne Milano,"Piazzale Lorenzo Lotto, 14, 20148 Milano MI, Italia",02 3921 4408,https://www.picanhastopcarne.com/lotto/,,4.5,1233
Osteria La Ciccia,"Via Lecco, 15, 20124 Milano MI, Italia",02 3655 3692,"https://aistudio.google.com/app/prompts?state=%7B%22ids%22:%5B%221iDf5_hDej8Xnhu5Q3-dljAmE9I7_y_o9%22%5D,%22action%22:%22open%22,%22userId%22:%22116638608431431168988%22,%22resourceKeys%22:%7B%7D%7D&usp=sharing",,4.3,754
PugliaMia Milano Braceria,"Via Urbano III, 3, 20123 Milano MI, Italia",333 802 8738,https://www.ilgrangusto.com/puglia-mia-milano/,,4.9,305
Nero 9,"Via Anfiteatro, 9, 20121 Milano MI, Italia",02 9167 2324,http://www.nero9milano.com/,,4.6,1079
Don Juan,"Via Altaguardia, Porta Romana, 2, 20135 Milano MI, Italia",02 5843 0805,http://www.ristorantedonjuan.com/,RISTDONJUAN@HOTMAIL.COM,4.5,1604
Varrone - The Philosophy of Meat Excellence,"Via Alessio di Tocqueville, 7, 20154 Milano MI, Italia",02 3679 8388,https://www.varronerestaurant.com/,,4.4,1678
Osteria la Carbonaia carne,"V. Giosuè Carducci, 38, 20123 Milano MI, Italia",02 4800 0088,http://www.osterialacarbonaia.it/,,4.6,698
Ribot,"Via Marco Cremosano, 41, 20148 Milano MI, Italia",02 3300 1646,http://www.ribotmilano.it/,info@maisontournier.com; borghetto@ribotmilano.it; bistrot@ribotmilano.it,4.6,5021
Muu House - Milano,"Viale Premuda, 46, 20129 Milano MI, Italia",345 500 9564,https://www.google.com/maps/reserve/v/dine/c/djM8aK4COYo?source=pa&hl=it-IT&gei=Fb6VZIK_MISO9u8P3aKYsA8&sourceurl=https://www.google.it/search?q%3Dmuu%2Bhouse%2Bmilano%26ie%3DUTF-8%26oe%3DUTF-8%26hl%3Dit-it%26client%3Dsafari,,4.4,657
Dry Aged,"Via Cesare da Sesto, 1/A, 20123 Milano MI, Italia",02 5810 7932,http://www.thedryaged.it/,,4.4,866
Via Pasteria,"Corso Italia, 16, 20122 Milano MI, Italia",02 8905 3384,http://www.viapasteria.com/,info@viapasteria.com,4.7,7227
Casa Artiano Milano,"Via Falcone, 7, 20123 Milano MI, Italia",02 7200 3713,,,4.7,320
Viaggi nel Gusto,"Via Edmondo de Amicis, 24, 20123 Milano MI, Italia",02 4775 5531,https://www.viagginelgusto.it/,info@viagginelgusto.com,4.6,826
Ristorante San Carlo,"Piazza S. Carlo, 2, 20122 Milano MI, Italia",02 3792 0389,https://sancarloaldue.com/,info@sancarloaldue.com,4.5,458
